2025-08-17 05:45:43 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:45:53 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:46:01 | ERROR | src.llm | LLM API error: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5 in organization org-CfJe8zNuipwuAC27L7XhjtQH on tokens per min (TPM): Limit 2000000, Used 1701094, Requested 313079. Please try again in 425ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
2025-08-17 05:46:04 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:46:15 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:46:24 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:46:32 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:46:41 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:46:48 | ERROR | src.llm | LLM API error: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5 in organization org-CfJe8zNuipwuAC27L7XhjtQH on tokens per min (TPM): Limit 2000000, Used 1694887, Requested 313079. Please try again in 238ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
2025-08-17 05:46:51 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:47:01 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:47:10 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:47:19 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:47:26 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:47:37 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:47:48 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:47:57 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:48:07 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:48:14 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:48:21 | ERROR | src.llm | LLM API error: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5 in organization org-CfJe8zNuipwuAC27L7XhjtQH on tokens per min (TPM): Limit 2000000, Used 1728967, Requested 313079. Please try again in 1.261s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
2025-08-17 05:48:25 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:48:34 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:48:42 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:48:49 | ERROR | src.llm | LLM API error: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5 in organization org-CfJe8zNuipwuAC27L7XhjtQH on tokens per min (TPM): Limit 2000000, Used 1749403, Requested 313079. Please try again in 1.874s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
2025-08-17 05:48:52 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:49:02 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:49:11 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:49:20 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:49:30 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:49:42 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:49:47 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:49:56 | ERROR | src.llm | LLM API error: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5 in organization org-CfJe8zNuipwuAC27L7XhjtQH on tokens per min (TPM): Limit 2000000, Used 1713179, Requested 313079. Please try again in 787ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
2025-08-17 05:49:59 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:50:08 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:50:17 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:50:26 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:50:35 | ERROR | src.llm | LLM API error: Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}
2025-08-17 05:50:43 | ERROR | src.llm | LLM API error: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5 in organization org-CfJe8zNuipwuAC27L7XhjtQH on tokens per min (TPM): Limit 2000000, Used 1705305, Requested 313079. Please try again in 551ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
